site,points,Species,lat,lon,caste
"Brady-Eden, TX, USA",BR,B,31.21636667,-99.80933333,W
"Luckenbach Rd., TX, USA",L,B,30.21726667,-98.73811667,W
"Ozona, TX, USA",OZ,B,30.68496667,-101.2707167,W
Welder,WWR,B,28.30483333,-97.52666667,Q
Fredericksburg,FMS,B,30.7845,-98.5,Q
"Las Cruces, NM, USA",LC,H,32.40641667,-106.6552833,W
"Columbus (BF), NM, USA",BF,H,31.79988333,-107.7484167,W
"San Simon, AZ, USA",SS,H,32.27041667,-109.2377167,W
Animas,AN,H,31.96291667,-108.8153833,Q
"State Line Rd., AZ, USA",SL,J,31.87143333,-109.04805,Q
"State Line Rd., AZ, USA",SL,J,31.87143333,-109.04805,W
"Sierra Vista, AZ, USA",SV,J,31.66665,-110.3497667,W
"Willcox, AZ, USA",W,J,32.23721667,-109.8244167,W
Santa Cruz,SC,J,31.38333333,-111.05,Q
"State Line Rd., AZ, USA",SL,J,31.87143333,-109.04805,W
"Bowie, AZ, USA",B,R,32.31525,-109.4854667,W
"Florence Junction, AZ, USA",FJ,R,33.22958333,-111.34525,W
"Willow Springs Rd., AZ, USA",WS,R,32.60211667,-110.8713,W
McCartney Rd. ,MC,R,33.311389,-112.631944,Q
